Name,Description,Location_Type,Street / Location,City / Town,Parish / State,Community,Region / District,Country,_Location_latitude,_Location_longitude,_Location_altitude,_Location_precision,Images,Type of Accomodations,Number of Rooms,Type of Attraction,Describe the types of activities offerred,Natural Attraction?,Type of Event,Event Start (date & time),Event End (date & time),Type of transportation,Number of Vehicles,Type of Service,Describe the types of activities offerred with this service,"Next, capture the main picture for the location; For additional pictures click ""Add Group"" on the subsequent screens",Number of Rooms
Welcoming vybz,This is a wonderful accomdation with a breathtaking view of the caribbean sea. Great for having a morning cup of coffee.,Accomodation,Church road,,St. Elizabeth,Treasure beach,Frenchman,Jamaica,17.887421,-77.7629446,42.70000076293945,5.0,1557008659186.jpg,Guest House,3,,,,,,,,,,,,
CALVARY ASSEMBLE OF GOD,Calvary Assemble of God is a temple of God where one can go to part take in their praise and worship of the lord Jehovah God.,Services,Church road,,St. Elizabeth,Treasure beach,Frenchman,Jamaica,17.8871132,-77.7639855,10.199999809265137,5.0,1557007568930.jpg,,,,,,,,,,,other,"Activties inlude:
Praise and worship, baptisam and deliverance",,
The Buccaneer Villa,,Accomodation,,,St.Elizabeth,Treasure Beach,Billy's Bay,Jamaica,17.8907913,-77.7794087,8.0,5.0,1556951267333.jpg,Villa,4,,,,,,,,,,,,
Villa Hikura,,Accomodation,,,St. Elizabeth,Treasure Beach,Billy's Bay,Jamaica,17.8917357,-77.7815759,9.600000381469727,5.0,1556949300674.jpg,Villa,4,,,,,,,,,,,,
Pelican,,Accomodation,,,St.Elizabeth,Treasure Beach,Billy's Bay,Jamaica,17.8887012,-77.7783156,-2.9000000953674316,5.0,1556950518322.jpg,Villa,3,,,,,,,,,,,,
Beacon ball ground,A large sporting field with the capacity of hosting football and cricket matches. Also a great venue for the hosting of parties.,Event,,,St. Elizabeth,Treasure beach,Beacon,Jamaica,17.901547,-77.743475,85.4000015258789,5.0,1557057614559.jpg,,,,,,SPORTS,,,,,,,,
Nuestra Casa Villa,,Accomodation,,,St.Elizabeth,Treasure Beach,Billy's Bay,Jamaica,17.8912264,-77.7792487,-27.5,5.0,1556951367628.jpg,Villa,5,,,,,,,,,,,,
Great bay beach,Great view of the caribbean sea with a fun filled experience. Great spot for a family fun day or even beach games and water parties.,Attraction,,,St. Elizabeth,Treasure beach,Great bay,Jamaica,,,,,,,,Beach,"Great view of the caribbean sea with a number of bars, restaurants and crafts shop",Yes,,,,,,,,,
Villa Elegance Bar & Grill,,Services,,,St.Elizabeth,Treasure Beach,Billy's Bay,Jamaica,17.8909957,-77.7789438,-18.700000762939453,4.0,1556951112300.jpg,,,,,,,,,,,other,,,
Charmaine's blessed shop,"A shop were you can get a variety of items,  which also includes the coldest Redstripe in town",Services,Frenchman,Treasure beach,St.Elizabeth,Treasure beach,Frenchman district,Jamaica,17.8815669,-77.7637463,-4.099999904632568,4.5,1557064972960.jpg,,,,,,,,,,,other,"Tell best place to get an authentic escovitc fish served with a warm friendly smile and to wash it all down an ice cold redstripe, the coldest in town!",,
Pardy's  coffee shop,"A local Jamaica breakfast spot located right across from the beach this contributes to the cool fresh air in the vicinity,  famous for his Ackee and salt fish and Johnny cake (fried dumplings)  his son(craig) recently opened a bar on top of the restaurant so if your had breakfast there, maybe a nice evening cocktail would top off your day",Services,Frenchman district,Treasure beach,St.Elizabeth,Treasure beach,Frenchman district,Jamaica,17.8819882,-77.7638414,-6.699999809265137,5.0,1557065141524.jpg,,,,,,,,,,,Food,Best way to exprience local quality breakfast with friendly people and just in case you missed breakfast you can also come here and enjoy a wonderful lunch,,
Angus one stop shop wholesale and gift,Angus one stop shop is a small crafts shop where exquisitly maded Jewellry can be found. There are also tshirts and towels which depict jamaica and Bob Marley,Services,,,St. Elizabeth,Treasure beach,Frenchman,Jamaica,17.8873725,-77.7669231,-0.8999999761581421,4.5,1557061163625.jpg,,,,,,,,,,,Shopping,,,
,,Accomodation,,Treasure beach ,St.Elizabeth ,Jamaica ,Frenchman district ,Jamaica,17.8796205,-77.7633872,-6.0,5.0,,Hotel,,,,,,,,,,,,,
,,Services,,Treasure beach,St.Elizabeth,Jamaica,Frenchman district,Jamaica,17.8796614,-77.7625587,9.0,4.5,1557354277015.jpg,,,,,,,,,,,other,A place of worship,,
,,Services,,Treasure beach ,St.Elizabeth ,Jamaica ,Frenchman district ,Jamaica,17.8791647,-77.7612091,-3.9000000953674316,4.5,1557355104646.jpg,,,,,,,,,,,Food,M&D has a mixed variety of household cleaning item as well as a jerk hut,,
Lyric,,Accomodation,,Treasure beach ,St.Elizabeth ,Jamaica,Calabash Bay district ,Jamaica,17.878737,-77.7607479,-12.0,4.5,1557355446516.jpg,Guest House,0,,,,,,,,,,,,
Dubloon,A relaxation one to none,Accomodation,,Treasure beach ,St.Elizabeth ,Treasure ,Calabash Bay district ,,17.8784155,-77.7605594,-24.799999237060547,5.0,1557355872766.jpg,Bed & Breakfast,,,,,,,,,,,,,
Calabash Bay  villa,A relaxation destination ,Accomodation,,Treasure beach ,St.Elizabeth Jamaica ,Treasure beach ,Calabash Bay district ,,17.8776727,-77.7595266,-10.199999809265137,4.5,1557356587327.jpg,Villa,,,,,,,,,,,,,
Bar,A beer on the beach it doesn't get any better,Services,,Treasure beach ,St.Elizabeth ,Treasure beach ,Calabash Bay district ,,17.8761524,-77.7596402,-5.300000190734863,4.5,1557357131941.jpg,,,,,,,,,,,other,"A well maintained bar on the beach, perfect for a friendly sit down ",,
Ocean view ,"To visit the Caribbean and not have the ocean put you to sleep is a shame says ocean view, the perfect place to spend a much needed vacation ",Accomodation,,Treasure beach ,St.Elizabeth ,Jamaica ,Calabash Bay district ,,17.8758338,-77.7597775,-11.699999809265137,4.5,1557357494912.jpg,Guest House,,,,,,,,,,,,,
Gordon guest house,"Wanna run away to your perfect vacation,  then run away here to our beautiful safe haven on the beach ",Accomodation,,Treasure beach ,St.Elizabeth ,Jamaica ,Calabash Bay district ,,17.8756282,-77.7594893,-8.0,5.0,1557357729230.jpg,Guest House,,,,,,,,,,,,,
Marble villa,"A quite comfortable place to call home on your vacation to treasure , come and be taken care of",Accomodation,,Treasure beach ,St.Elizabeth ,Treasure ,Old wharf,,17.8750184,-77.7586298,-11.699999809265137,5.0,1557358130122.jpg,Guest House,,,,,,,,,,,,,
Treasure Cot ,A quite getaway,Accomodation,,Treasure beach,St.Elizabeth,Treasure beach,Calabash Bay district,,17.8785249,-77.7605959,-10.300000190734863,5.0,1557355667918.jpg,Guest House,,,,,,,,,,,,,
Cliff's Bar- More Vides,Local Bar where residents of the community hang out from time to time.,Services,,,St.Elizabeth,Treasure Beach,Billy's Bay,Jamaica,17.8886726,-77.7709446,-4.400000095367432,5.0,1557019384557.jpg,,,,,,,,,,,other,,,
Shanine's,Local cook shop specializing in Jamaican fare. Great food with a great price with outdoor dining under the tree.,Services,,,St.Elizabeth ,Treasure Beach ,Billy's Bay ,Jamaica,17.8884074,-77.7732153,6.599999904632568,4.5,1557030664333.jpg,,,,,,,,,,,Food,"Chicken (fry, brown stew), Fish (brown stew,fry)",,
Eula's Shop,Grocery and haberdashery items.,Services,,,St.Elizabeth,Treasure Beach,Billy's Bay,Jamaica,17.8884081,-77.7732619,-4.400000095367432,5.0,1557455811120.jpg,,,,,,,,,,,Shopping,,,
Garfield Cottage,This separate cottage is located between the main villa (Villa Hikaru). It is only rented with the main villa.,Accomodation,,,St.Elizabeth,Treasure Beach,Billy's Bay,Jamaica,17.8920502,-77.7814141,0.699999988079071,5.0,1556949689119.jpg,Villa,1,,,,,,,,,,,,
Villa Canem,"A spectacular and stylish property immersed in acres of �gardens, sitting on top of a gentle hill , with a private infinity pool overlooking the Caribbean sea and your own unspoiled beach.",Accomodation,,,St.Elizabeth,Treasure Beach,Billy's Bay,Jamaica,17.8882935,-77.7738403,-2.200000047683716,5.0,1557460780591.jpg,Villa,4,,,,,,,,,,,,
Strikie T,Great restaurant specializing in jerk chicken and seafood. International/ Jamaican cuisine. ,Services,,,St.Elizabeth ,Treasure Beach ,Billy's Bay ,Jamaica,17.8932648,-77.782346,12.5,5.0,1557464595725.jpg,,,,,,,,,,,Food,,,
Billy's Bay Gospel Chapel,,Services,,,St.Elizabeth ,Treasure Beach ,Billy's Bay ,Jamaica,17.8929475,-77.7810585,-18.100000381469727,5.0,1557463178229.jpg,,,,,,,,,,,other,Praise and Worship ,,
South Pole,"Has a large selection of grocery items, but is best known for a favorite local hang-out.",Services,,,St.Elizabeth ,Treasure Beach ,Billy's Bay ,Jamaica,17.8928529,-77.781532,5.400000095367432,5.0,1557463616092.jpg,,,,,,,,,,,Shopping,,,
The Singing Chef,This restaurant specializes in seafood and an International/Jamaica cuisine. While the food is being prepared there is a live band playing and the chef sings along with other persons on the band.,Services,,,St.Elizabeth,Treasure Beach,Billy's Bay,Jamaica,17.8932849,-77.781222,-13.600000381469727,5.0,1557477970396.jpg,,,,,,,,,,,Food,,,
De Little Diamond Cook Shop,A local cook shop specializing in Jamaican fare. Sit under the lignum vitae tree at the large table and enjoy some good conversation.,Services,,,St.Elizabeth ,Treasure Beach ,Billy's Bay ,Jamaica,17.8927969,-77.7803139,-12.0,5.0,1557462260901.jpg,,,,,,,,,,,Food,"Chicken  (curry, fry, stew), Beef, Pork (brown stew), Fish (brown stew)",,
Zoe's Shop,Local bar and a small selection of grocery items.,Services,,,St.Elizabeth ,Treasure Beach ,Billy's Bay ,Jamaica,17.8928244,-77.7809394,-2.299999952316284,4.5,1557463066014.jpg,,,,,,,,,,,Shopping,,,
Malcom's Shop,Local bar and a small selection of grocery items.,Services,,,St.Elizabeth ,Treasure Beach ,Billy's Bay ,Jamaica,17.8926669,-77.780668,-9.399999618530273,4.5,1557466272543.jpg,,,,,,,,,,,Shopping,,,
Ashanti Village ,"Ashanti Village Guest House is a home away from home, where guests come to experience a slice of Jamaican heaven. With an enchanted garden, breathtaking sea-views, mountain views and sunsets; Ashanti Village is where dreams are realised, where love is born and where one's affair with nature is rekindled. ",Accomodation,,,St.Elizabeth ,Treasure Beach ,Billy's Bay ,Jamaica,17.8880361,-77.7717054,24.200000762939453,5.0,1557480573728.jpg,Bed & Breakfast,5,,,,,,,,,,,,
77 West,77 West with its contemporary minimalistic design consists of five one bedroom cottages overlooking the dramatic view of the South Coast. These cottages are located on the same compound as the restaurant.,Accomodation,,,St.Elizabeth ,Treasure Beach ,Billy's Bay ,Jamaica,17.8930648,-77.7839511,17.799999237060547,5.0,1557465777827.jpg,Villa,5,,,,,,,,,,,,
77 West Restaurant and Bar, You can enjoy a meal by the pool side or chill at the bar while over looking the Caribbean sea. The restaurant and bar is on the same compound as the cottages.,Services,,,St.Elizabeth ,Treasure Beach ,Billy's Bay ,Jamaica,17.8930562,-77.7840421,0.20000000298023224,5.0,1557465351246.jpg,,,,,,,,,,,Food,"Fresh salads , pasta , jerk meats , grill fish , lobsters , freshly baked bread .",,
Barukamba,"Barukamba, the cozy and colorful hideaway nest of famous Jamaican dub poet Muta Baruka and fashion designer Jackie 'Amba' Cohen. Barukamba has a unique vibe and architecture. Completely made out of wood, it is built on a rock facing the ocean. The front terrace opens up to one of the most beautiful ocean views in Treasure Beach, while the beach is only 250 meters away. The house has only one room with three beds and can accommodate 5 persons.",Accomodation,,,St.Elizabeth ,Treasure Beach ,Billy's Bay ,Jamaica,17.8939396,-77.7825758,-10.899999618530273,5.0,1557482727428.jpg,Guest House,1,,,,,,,,,,,,
Irie Rest,"A family-run accommodation in the heart of Billy's Bay.
The GuestHouse offers several basic 1-2 bedroom apartments, all with private bathroom, screened patio and AC. Two of the apartments are equipped with a full kitchen. Just a quick walk (100m) down a well maintained path to quiet, usually solitary beaches and beautiful sunsets.",Accomodation,,,St.Elizabeth ,Treasure Beach ,Billy's Bay ,Jamaica,17.8922388,-77.7815632,-4.400000095367432,5.0,1557463931582.jpg,Apartment,7,,,,,,,,,,,,
V&j 's authentic  Jamaican cuisine ,,Services,,Treasure beach ,St.Elizabeth ,Treasure beach ,Frenchman district ,Jamaica,17.8796605,-77.7623324,-6.900000095367432,5.0,1557574252291.jpg,,,,,,,,,,,Food,,,
Lyric,A relaxing oasis to ready to satisfy your needs,Accomodation,,Treasure beach ,St.Elizabeth ,Treasure beach ,Calabash Bay ,Jamaica,17.8787179,-77.7614321,-3.5999999046325684,5.0,1557574776649.jpg,Villa,,,,,,,,,,,,,
Mayday,"A fruitful private property, satisfaction second to none",Accomodation,,Treasure beach ,St.Elizabeth ,Treasure beach ,Old wharf district ,Jamaica,17.8779303,-77.7583548,-21.0,5.0,1557575190046.jpg,Apartment,,,,,,,,,,,,,
King fisher plaza,,Services,,Treasure beach ,St.Elizabeth ,Jamaica ,Old wharf,Jamaica,17.8780074,-77.7579859,27.399999618530273,5.0,1557575493121.jpg,,,,,,,,,,,other,This plaza have a variety of different shope for various things such a  barber shop a bar  the Demo is also on the plaza as well as an Atm a breda office is also located on the plaza,,
Woman's group,,Services,,Treasure beach ,St.Elizabeth ,Treasure beach ,Old wharf ,Jamaica,17.8754238,-77.7571912,-7.5,5.0,1557576332261.jpg,,,,,,,,,,,other,"The treasure beach women's group or tbwg for short, Is an arts and crafts  marvel  but not only that, they also put alot of focus in the development of the community as well as the people within it, they facilitate training sessions weather educational or just fun or a bit of both. They also Focus on local talent as it pertains to hand made craft work",,
Hummingbird cottage ,,Accomodation,,Treasure beach ,St.Elizabeth ,Treasure beach ,Old wharf district ,,17.8750899,-77.7566301,2.799999952316284,4.5,1557577241245.jpg,Villa,,,,,,,,,,,,,
Shakti,,Accomodation,,Treasure beach ,St.Elizabeth ,Jamaica ,Old wharf district ,Jamaica,17.8737173,-77.7550746,4.5,5.0,1557578042626.jpg,Villa,,,,,,,,,,,,,
Seafood urchin,,Accomodation,,Treasure beach ,St.Elizabeth ,Treasure beach ,Old wharf district ,,17.8738094,-77.7550718,-17.700000762939453,5.0,1557578169601.jpg,Villa,,,,,,,,,,,,,
Villa optima,,Accomodation,,Treasure beach ,St.Elizabeth ,Treasure beach ,Old wharf district ,Jamaica,17.8735157,-77.7546497,-7.0,4.5,1557578351276.jpg,Villa,3,,,,,,,,,,,,
Side optima ,,Accomodation,,,,,,,17.8732225,-77.7544178,-5.699999809265137,5.0,1557578530214.jpg,Guest House,,,,,,,,,,,,,
Mulberry cottage ,,Accomodation,,,,,,,17.8742816,-77.7543776,1.899999976158142,5.0,1557578853979.jpg,Villa,,,,,,,,,,,,,
One ocean,,,,Treasure beach ,St.Elizabeth ,Treasure beach ,Old wharf ,Jamaica,17.8743904,-77.7542124,11.600000381469727,5.0,1557578981288.jpg,,,,,,,,,,,,,,
Too tree,,Accomodation,,Treasure beach ,St.Elizabeth ,Treasure beach ,Old wharf district ,Jamaica,17.87464,-77.7534797,-0.20000000298023224,5.0,1557579185237.jpg,Guest House,,,,,,,,,,,,,
 The mud palace gallery,,Services,,Treasure beach ,St.Elizabeth ,Treasure beach ,Old wharf district ,,17.8753894,-77.7572696,-4.599999904632568,4.0,1557580470789.jpg,,,,,,,,,,,other,,,
Dolphin villa,,Accomodation,,,,,Old wharf ,,17.8777095,-77.7588393,-2.0999999046325684,5.0,1557580864047.jpg,Villa,,,,,,,,,,,,,
La Sirena,"Cool and airy describe the feel of La Sirena. Lots of double doors opening up onto the newly expanded sun deck, pool, and outdoor dining area allow you to make the most of enjoying this balmy climate. Walk down a few stairs and relax on the beach view deck or continue down and walk on to Billy�s Bay beach.",Accomodation,,,St.Elizabeth ,Treasure Beach ,Billy's Bay ,Jamaica,17.8921798,-77.7820962,43.20000076293945,5.0,1557525467733.jpg,Villa,5,,,,,,,,,,,,
Sparkling Waters- Villa d' la Ocean,"Located on the same property as Villa de la Sable. Both villas share the pool, Jacuzzi and large sun deck. The lush gardens ensure each villa their own privacy. The thatched roof gazebo furnished with a hammock was made for afternoon siestas.Take the stairs down to the secluded beach below.� Great snorkeling can be found on the reef (weather permitting).",Accomodation,,,St.Elizabeth ,Treasure Beach ,Billy's Bay ,Jamaica,17.8884711,-77.7772073,30.200000762939453,5.0,1557526294745.jpg,Villa,2,,,,,,,,,,,,
Sparkling Waters- Villa de la Sable,"Tastefully decorated and filled with Caribbean colours; a few nights stay in this two-bedroom, two bathroom villa is guaranteed to rejuvenate the soul. The waters of the expansive infinity pool/Jacuzzi fall over onto a large wooden sun deck perched on the edge of a cliff overlooking the sea.Both Villa de la Sable and Villa d� la Ocean share the pool, Jacuzzi and large sun deck. The lush gardens ensure each villa their own privacy.",Accomodation,,,St.Elizabeth ,Treasure Beach ,Billy's Bay ,Jamaica,17.8884709,-77.7775119,13.199999809265137,5.0,1557526692729.jpg,Villa,2,,,,,,,,,,,,
